GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
TGX_2002-9FM,2,6,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,412.4,205.7,Zambia,Ferric Luvisols
TGX_2014-16FM,1,2,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,404.8,201.3,Zambia,Ferric Luvisols
TGX_2014-16FM,2,6,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,418.8,197.8,Zambia,Ferric Luvisols
TIKOLORE,1,1,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,,,Malawi,Ferric Luvisols
TIKOLORE,2,6,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,415.1,185.6,Malawi,Ferric Luvisols
BIMHA,1,2,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,418.4,192.0,Zimbabwe,Eutric Nitosols
BIMHA,2,9,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,418.8,185.4,Zimbabwe,Eutric Nitosols
KALEYA,1,2,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,417.5,203.4,Zambia,Eutric Nitosols
KALEYA,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,425.3,187.4,Zambia,Eutric Nitosols
LUKANGA,1,5,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,386.2,199.4,Zambia,Eutric Nitosols
LUKANGA,2,9,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,397.8,191.5,Zambia,Eutric Nitosols
MAKWACHA,1,4,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,420.6,176.5,Malawi,Eutric Nitosols
MAKWACHA,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,434.9,160.3,Malawi,Eutric Nitosols
MHOFU,1,5,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,410.4,193.7,Zimbabwe,Eutric Nitosols
MHOFU,2,6,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,412.0,189.1,Zimbabwe,Eutric Nitosols
NASOKO,1,4,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,424.0,174.2,Malawi,Eutric Nitosols
NASOKO,2,9,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,428.5,172.1,Malawi,Eutric Nitosols
SC_EXPT1,1,2,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,,,Zimbabwe,Eutric Nitosols
SC_EXPT1,2,8,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,416.9,188.1,Zimbabwe,Eutric Nitosols
SC_EXPT2,1,1,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,393.0,198.1,Zimbabwe,Eutric Nitosols
SC_EXPT2,2,8,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,,,Zimbabwe,Eutric Nitosols
SC_EXPT3,1,5,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,433.5,166.4,Zimbabwe,Eutric Nitosols
SC_EXPT3,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,413.0,189.0,Zimbabwe,Eutric Nitosols
SC_SAGA,1,1,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,408.4,188.4,Zimbabwe,Eutric Nitosols
SC_SAGA,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,427.2,187.3,Zimbabwe,Eutric Nitosols
SC_SIGNAL,1,3,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,402.5,178.1,Zimbabwe,Eutric Nitosols
SC_SIGNAL,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,416.0,172.9,Zimbabwe,Eutric Nitosols
SC_SL01,1,1,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,426.2,180.5,Zimbabwe,Eutric Nitosols
SC_SL01,2,9,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,421.1,184.8,Zimbabwe,Eutric Nitosols
SC_SPIKE,1,3,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,390.4,186.8,Zimbabwe,Eutric Nitosols
SC_SPIKE,2,9,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,399.4,189.8,Zimbabwe,Eutric Nitosols
TGX_1987-62F,1,3,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,,,Nigeria,Eutric Nitosols
TGX_1987-62F,2,10,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,423.9,173.8,Nigeria,Eutric Nitosols
TGX_2002-9FM,1,4,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,425.7,195.5,Zambia,Eutric Nitosols
TGX_2002-9FM,2,7,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,429.1,191.3,Zambia,Eutric Nitosols
TGX_2014-16FM,1,4,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,,,Zambia,Eutric Nitosols
TGX_2014-16FM,2,8,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,424.3,191.2,Zambia,Eutric Nitosols
TIKOLORE,1,5,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,430.5,171.6,Malawi,Eutric Nitosols
TIKOLORE,2,7,ENV7,SEEDCO-Site 3,1448,6.1,24,20.4,340.8,425.8,173.1,Malawi,Eutric Nitosols
BIMHA,1,5,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,416.7,188.8,Zimbabwe,Eutric Nitosols
BIMHA,2,9,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,419.9,181.2,Zimbabwe,Eutric Nitosols
KALEYA,1,4,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,430.0,198.7,Zambia,Eutric Nitosols
KALEYA,2,6,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,420.8,193.3,Zambia,Eutric Nitosols
LUKANGA,1,3,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,393.1,194.4,Zambia,Eutric Nitosols
LUKANGA,2,8,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,402.7,194.4,Zambia,Eutric Nitosols
MAKWACHA,1,3,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,414.4,177.2,Malawi,Eutric Nitosols
MAKWACHA,2,8,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,416.7,178.7,Malawi,Eutric Nitosols
MHOFU,1,3,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,407.2,188.4,Zimbabwe,Eutric Nitosols
MHOFU,2,9,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,417.2,189.4,Zimbabwe,Eutric Nitosols
NASOKO,1,5,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,412.7,184.4,Malawi,Eutric Nitosols
NASOKO,2,8,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,426.8,176.2,Malawi,Eutric Nitosols
SC_EXPT1,1,1,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,437.1,170.6,Zimbabwe,Eutric Nitosols
SC_EXPT1,2,9,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,,,Zimbabwe,Eutric Nitosols
SC_EXPT2,1,1,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,394.7,181.8,Zimbabwe,Eutric Nitosols
SC_EXPT2,2,7,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,413.7,192.5,Zimbabwe,Eutric Nitosols
SC_EXPT3,1,3,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,389.7,213.3,Zimbabwe,Eutric Nitosols
SC_EXPT3,2,7,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,396.5,207.8,Zimbabwe,Eutric Nitosols
SC_SAGA,1,2,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,424.3,184.6,Zimbabwe,Eutric Nitosols
SC_SAGA,2,9,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,434.3,182.6,Zimbabwe,Eutric Nitosols
SC_SIGNAL,1,2,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,398.6,178.0,Zimbabwe,Eutric Nitosols
SC_SIGNAL,2,8,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,418.1,175.2,Zimbabwe,Eutric Nitosols
SC_SL01,1,4,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,428.6,176.5,Zimbabwe,Eutric Nitosols
SC_SL01,2,7,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,428.0,183.9,Zimbabwe,Eutric Nitosols
SC_SPIKE,1,5,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,397.5,179.0,Zimbabwe,Eutric Nitosols
SC_SPIKE,2,9,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,402.8,187.5,Zimbabwe,Eutric Nitosols
TGX_1987-62F,1,1,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,417.0,174.4,Nigeria,Eutric Nitosols
TGX_1987-62F,2,6,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,438.9,168.9,Nigeria,Eutric Nitosols
TGX_2002-9FM,1,3,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,426.6,193.9,Zambia,Eutric Nitosols
TGX_2002-9FM,2,6,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,411.9,195.0,Zambia,Eutric Nitosols
TGX_2014-16FM,1,2,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,425.1,182.5,Zambia,Eutric Nitosols
TGX_2014-16FM,2,10,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,424.9,188.2,Zambia,Eutric Nitosols
TIKOLORE,1,4,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,428.4,177.0,Malawi,Eutric Nitosols
TIKOLORE,2,10,ENV8,SEEDCO-Site 2,1480,6.1,19,19.4,392.8,424.4,176.2,Malawi,Eutric Nitosols
BIMHA,1,4,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,,,Zimbabwe,Eutric Nitosols
BIMHA,2,7,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,406.6,204.4,Zimbabwe,Eutric Nitosols
KALEYA,1,2,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,439.5,199.9,Zambia,Eutric Nitosols
KALEYA,2,8,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,443.5,194.7,Zambia,Eutric Nitosols
LUKANGA,1,4,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,400.0,189.0,Zambia,Eutric Nitosols
LUKANGA,2,7,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,404.9,188.3,Zambia,Eutric Nitosols
MAKWACHA,1,5,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,433.1,164.2,Malawi,Eutric Nitosols
MAKWACHA,2,6,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,423.6,165.3,Malawi,Eutric Nitosols
MHOFU,1,2,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,418.2,192.0,Zimbabwe,Eutric Nitosols
MHOFU,2,6,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,404.8,200.1,Zimbabwe,Eutric Nitosols
NASOKO,1,3,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,418.0,188.0,Malawi,Eutric Nitosols
NASOKO,2,10,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,428.9,177.4,Malawi,Eutric Nitosols
SC_EXPT1,1,3,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,432.6,186.4,Zimbabwe,Eutric Nitosols
SC_EXPT1,2,8,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,427.5,198.7,Zimbabwe,Eutric Nitosols
SC_EXPT2,1,5,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,411.6,200.4,Zimbabwe,Eutric Nitosols
SC_EXPT2,2,7,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,412.3,204.9,Zimbabwe,Eutric Nitosols
SC_EXPT3,1,2,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,422.0,190.6,Zimbabwe,Eutric Nitosols
SC_EXPT3,2,6,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,419.9,190.5,Zimbabwe,Eutric Nitosols
SC_SAGA,1,3,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,419.4,190.9,Zimbabwe,Eutric Nitosols
SC_SAGA,2,7,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,421.2,192.4,Zimbabwe,Eutric Nitosols
SC_SIGNAL,1,5,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,417.7,181.3,Zimbabwe,Eutric Nitosols
SC_SIGNAL,2,10,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,401.1,187.1,Zimbabwe,Eutric Nitosols
SC_SL01,1,4,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,420.8,187.5,Zimbabwe,Eutric Nitosols
SC_SL01,2,8,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,419.4,202.4,Zimbabwe,Eutric Nitosols
SC_SPIKE,1,5,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,387.8,194.1,Zimbabwe,Eutric Nitosols
SC_SPIKE,2,9,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,401.8,180.6,Zimbabwe,Eutric Nitosols
TGX_1987-62F,1,1,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,431.4,173.6,Nigeria,Eutric Nitosols
TGX_1987-62F,2,6,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,430.7,167.2,Nigeria,Eutric Nitosols
TGX_2002-9FM,1,1,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,427.2,188.5,Zambia,Eutric Nitosols
TGX_2002-9FM,2,9,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,423.8,195.5,Zambia,Eutric Nitosols
TGX_2014-16FM,1,2,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,430.8,185.7,Zambia,Eutric Nitosols
TGX_2014-16FM,2,10,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,,,Zambia,Eutric Nitosols
TIKOLORE,1,2,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,433.7,172.4,Malawi,Eutric Nitosols
TIKOLORE,2,9,ENV9,CBI-Site 1,1504,6.4,21,20.6,307.5,417.5,179.1,Malawi,Eutric Nitosols
