GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
MAKWACHA,2,10,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,392.0,195.6,Malawi,Ferric Luvisols
MHOFU,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.0,208.4,Zimbabwe,Ferric Luvisols
MHOFU,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,408.6,202.6,Zimbabwe,Ferric Luvisols
NASOKO,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,403.6,175.9,Malawi,Ferric Luvisols
NASOKO,2,8,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,402.3,190.2,Malawi,Ferric Luvisols
SC_EXPT1,1,4,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,392.8,205.7,Zimbabwe,Ferric Luvisols
SC_EXPT1,2,9,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,408.2,195.0,Zimbabwe,Ferric Luvisols
SC_EXPT2,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,399.8,209.8,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,388.9,207.2,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,3,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,396.1,210.1,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,399.9,203.4,Zimbabwe,Ferric Luvisols
SC_SAGA,1,5,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Zimbabwe,Ferric Luvisols
SC_SAGA,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,368.9,217.0,Zimbabwe,Ferric Luvisols
SC_SIGNAL,1,4,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,389.3,194.1,Zimbabwe,Ferric Luvisols
SC_SIGNAL,2,8,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,382.9,197.1,Zimbabwe,Ferric Luvisols
SC_SL01,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.2,210.1,Zimbabwe,Ferric Luvisols
