Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Capybara,56500.0,191.5,60.5,223.5,70.5
Snowshoe Hare,1294.0,75.7,14.5,98.25,19.65
Arctic Hare,4500.0,109.15,22.0,129.2,30.0
Blacktail jackrabbit,1535.0,83.6,17.8,107.55,12.3
European Hare,3402.0,108.1,24.75,137.9,33.75
White-tailed Jackrabbit,4300.0,102.6,20.75,125.85,28.25
European Rabbit,1900.0,68.55,15.5,88.8,20.0
Eastern cottontail,1057.0,61.9,14.85,82.4,18.35
Cairo Spiny Mouse,56.0,16.7,4.36,21.65,6.225
African Grass Rat,120.0,21.0,6.5,28.65,9.05
Lesser Gerbil,79.0,16.3,5.1,25.45,8.0
Greater Egyptian Gerbil,62.0,16.5,5.2,25.1,7.3
Cansdale's Swamp Rat,70.0,21.05,5.25,30.1,7.1
Mongolian Jird,61.0,16.0,5.1,22.95,7.0
Muskrat,1200.0,41.25,14.0,50.45,16.65
Brown rat,464.0,31.5,10.9,41.65,14.25
Coypu,8130.0,77.55,25.5,100.95,32.7
Emin's Pouched Rat,550.0,46.0,12.65,61.15,16.0
Degu,238.0,25.25,7.05,34.8,9.45
White-tailed prairie dog,1130.0,40.0,13.5,48.25,13.5
Fire-footed Rope Squirrel,190.0,31.8,9.1,41.55,10.25
Hoary marmot,6250.0,90.05,28.4,99.2,25.1
Groundhog,3012.0,68.95,24.15,80.85,22.0
Eastern gray squirrel,765.0,44.7,13.1,57.4,14.6
Fox squirrel,1109.0,57.8,16.85,72.75,18.25
Lesser tropical ground squirrel,345.0,30.3,8.9,37.1,10.05
Franklin's ground squirrel,475.0,34.0,11.9,43.9,12.0
Golden-mantel squirrel,159.0,26.0,7.3,35.2,8.7
Richardson's ground squirrel,345.0,31.95,10.1,38.75,10.9
Thirteen-lined ground squirrel,195.0,26.65,9.7,34.1,8.8
Yellow-pine chipmunk,52.9,18.25,5.25,24.7,6.0
Least chipmunk,60.5,18.1,5.6,24.05,5.95
American Red Squirrel,260.0,31.4,10.0,40.2,9.95
Kowari,133.0,27.35,7.15,34.6,8.7
Tasmanian Devil,8490.0,99.95,27.25,103.75,27.45
Water Opossum,700.0,45.065,12.25,57.715,14.95
Oppossum,1500.0,63.05,17.0,80.855,18.8
Virginia Opossum,7500.0,75.7,26.5,90.85,26.25
Linnaeus's Mouse Opossum,59.0,21.45,6.2,25.75,6.1
Brown Four-eyed Opossum,235.0,35.35,9.25,51.15,11.45
Northern Red-sided Opossum,77.0,20.75,6.9,24.55,6.8
Gray Four-eyed Opossum,600.0,45.6,10.95,55.95,12.85
Woylie,1120.0,33.67,12.95,80.32,21.45
Grizzled Tree-kangaroo,18200.0,140.7,48.25,183.5,56.25
Western Grey Kangaroo,22730.0,117.4,31.0,214.35,57.5
Red Kangaroo,38000.0,154.7,55.75,251.1,71.5
Leadbeater's possum,106.7,24.2,7.75,34.9,8.2
Impala,60500.0,,65.0,,69.0
Barbary sheep,49200.0,181.0,65.75,212.5,67.25
Blackbuck,22000.0,137.85,47.4,176.5,47.55
Bison,1179000.0,,191.5,,167.5
European bison,310000.0,350.0,130.0,418.0,122.0
Bos gaurus,545000.0,343.5,154.5,429.0,156.5
Wild goat,29500.0,165.1,58.0,183.65,58.95
West Caucasian Tur,116800.0,240.0,89.0,271.5,88.0
Alpine Ibex,25420.0,156.25,54.1,188.9,52.65
Black Wildebeest,108500.0,209.0,85.5,251.0,87.0
Blue wildebeest,256500.0,,115.0,,100.0
Himalayan Tahr,31100.0,172.5,61.4,184.8,57.8
Scimitar Oryx,117900.0,225.0,95.0,278.0,92.5
Muskox,315000.0,315.5,128.0,350.5,111.0
Domestic sheep,76600.0,158.0,74.5,188.0,79.0
Dall Sheep,76200.0,214.5,82.5,254.0,81.5
Duiker,13860.0,,31.0,,46.0
Nyala,134500.0,,99.0,,97.0
Bushbuck,50900.0,,56.0,,62.0
Kudu,301000.0,,140.0,,135.0
Bactrian Camel,680400.0,386.0,220.0,485.0,139.5
Guanaco,123800.0,253.0,100.0,315.0,95.0
Moose,523000.0,393.0,145.5,440.0,144.0
Barasingha,225000.0,265.5,101.5,343.0,105.0
Sika Deer,82200.0,215.0,70.0,263.5,73.0
Père David's Deer,158800.0,271.5,112.5,340.5,112.0
Water deer,24290.0,117.95,33.95,153.7,43.65
White-tailed deer,66100.0,216.0,72.0,279.0,77.0
Caribou,131900.0,261.5,90.5,304.5,85.5
Burchell's zebra,272400.0,259.0,118.0,363.5,137.5
Horse (pony),350000.0,261.5,118.25,362.0,139.85
Cape Mountain zebra,262000.0,,132.0,,143.0
Giraffe,990000.0,495.0,218.0,520.0,188.0
Okapi,310000.0,332.0,131.0,355.0,128.0
Pygmy Hippo,250000.0,245.0,101.0,268.7,107.0
Hippo,1264000.0,422.5,182.5,467.0,188.5
White Rhinoceros,1900000.0,457.0,257.0,559.0,225.0
Javan Rhinoceros,1435000.0,425.0,213.0,515.0,206.0
Warthog,90500.0,,83.0,,72.0
Malayan Tapir,250000.0,257.0,109.0,330.0,115.0
South American Tapir,139300.0,235.5,94.5,307.5,106.0
Nine-banded armadillo,3077.0,55.16,22.25,83.0,29.9
Giant Armadillo,29500.0,125.05,68.25,167.7,78.5
Linnaeus's Two-toed Sloth,6200.0,166.2,40.25,157.85,43.25
Hoffmann's Two-toed Sloth,4500.0,140.65,32.75,133.45,34.5
Southern Tamandua,5470.0,90.7,34.6,91.2,29.8
American Alligator,167830.0,201.2,88.5,,86.0
Spectacled Caiman,22050.0,91.75,37.3,117.75,43.0
Chinese water dragon,259.0,33.15,8.05,48.7,10.1
Australian water dragon,440.0,39.7,9.1,55.3,10.9
Central Bearded Dragon,511.0,34.65,9.05,38.7,9.5
Egyptian Mastigure,610.0,46.7,14.0,50.57,16.1
Mali Spiny-tailed Agama,512.0,30.7,9.55,33.85,10.2
Veiled Chameleon,199.0,33.75,7.05,33.65,6.5
Giant One-horned Chameleon,258.0,42.7,8.65,43.65,9.5
Panther Chameleon,99.0,30.47,7.3,31.03,7.5
Plumed basilisk,199.0,31.2,7.55,49.15,9.5
Brown basilisk,112.0,22.2,5.95,40.85,7.5
Gecko,96.0,20.65,5.45,24.9,5.75
Sudan plated lizard,227.0,22.6,6.5,25.2,7.8
Gila monster,406.0,35.85,10.25,37.15,10.85
green iguana,2700.0,68.8,20.25,82.7,22.75
Solomon Islands skink,374.0,36.05,10.15,36.5,10.95
Blue-tongued skink,243.0,27.16,7.75,25.97,8.1
Common Tegu,1207.0,48.52,15.0,57.07,17.85
Rock monitor,1358.0,52.9,16.8,60.8,18.6
Black tree monitor,133.0,34.3,7.25,36.6,8.6
Savannah monitor,5063.0,64.9,25.0,68.35,27.4
Peach-throated monitor,1100.0,54.2,16.75,65.9,21.0
Komodo dragon,72000.0,141.6,62.0,173.4,67.0
Nile monitor,8645.0,78.45,29.75,92.35,34.0
Salvadori's monitor,4839.0,73.35,25.1,80.5,25.75
Snapping turtle,5372.0,64.595,29.5,68.2,27.25
Painted turtle,537.0,30.86,10.0,34.525,10.0
Spotted turtle,79.0,21.715,6.65,22.4,7.0
Indochinese box turtle,555.0,40.34,12.95,36.69,11.95
Blanding's turtle,1588.0,52.55,15.0,56.155,16.0
Wood Turtle,766.0,44.37,12.45,46.87,13.15
Texas river cooter,185.0,31.17,9.05,35.65,10.0
Box turtle,460.0,33.76,11.85,37.2,11.45
Red-Eared Slider,1790.0,43.2,13.75,46.65,14.2
Striped mud turtle,121.0,17.08,7.25,17.5,6.4
Common mud turtle,138.0,18.84,7.0,19.9,6.8
Loggerhead musk turtle,173.0,20.64,7.2,21.21,7.0
Common Musk Turtle,193.0,23.88,8.0,24.12,7.0
Big-headed turtle,629.0,34.95,12.75,36.7,12.0
Red-footed tortoise,1181.0,52.0,19.0,43.72,15.65
Gopher tortoise,2825.0,63.6,24.0,48.01,19.9
Home's Hingeback tortoise,1485.0,51.99,17.9,44.39,15.95
Asiatic Softshell Turtle,962.0,39.38,16.35,39.68,14.0
Florida softshell turtle,3836.0,58.56,22.25,61.12,23.6
Eastern spiny softshell turtle,278.0,28.27,10.3,30.11,11.0
Chinese softshell turtle,1380.25,42.21,15.3,43.55,13.05
Tiger salamader,59.0,15.3,6.0,16.3,4.0
Cranwell's horned frog,129.0,23.3,8.65,27.8,8.45
Australian Green Tree Frog,51.0,18.5,6.0,30.0,5.0
Rococo Toad,538.0,45.05,11.9,52.2,12.15
Wide-mouth frog,166.8,32.4,8.5,35.7,8.5
Cuban tree frog,117.0,32.1,8.5,53.8,7.7
African clawed frog,109.5,14.8,5.4,30.0,7.9
Tomato frog,76.0,19.5,6.6,28.0,6.2
