Block,Position,Species,Treatment,Visual Cues in Block,Total Distance,Velocity,Frequency Treatment Stimulus Zone,Time Spent Treatment Stimulus Zone,Latency Treatment Stimulus Zone,Frequency Control Stimulus Zone,Time Spent Control Stimulus Zone,Latency Control Stimulus Zone,Frequency Treatment Half,Time Spent Treatment Half,Latency Treatment Half,Frequency Control Half,Time Spent Control Half,Latency Control Half
Trial    73,Arena 5,RW,Control,Yes,9.76284,0.0211014,0,0,600,0,0,600,1,278.764,321.297,35,192.931,0
Trial    74,Arena 3,RW,Visual,Yes,13.6553,0.0638403,0,0,600,0,0,600,4,35.5996,12.2332,92,198.631,0
Trial    69,Arena 1,RW,Visual,Yes,25.6573,0.0933342,0,0,600,0,0,600,46,82.6658,3.56663,47,103.832,0
Trial    69,Arena 6,RW,Control,Yes,29.7718,0.0850469,0,0,600,0,0,600,15,221.598,5.53328,32,141.365,1.09999
Trial    71,Arena 3,RW,Visual,Yes,29.9749,0.0503503,0,0,600,0,0,600,3,288.03,35.9996,4,308.264,0
Trial    74,Arena 6,RW,Control,Yes,32.5489,0.0899897,0,0,600,0,0,600,13,95.799,9.63324,37,284.33,0
Trial    67,Arena 3,RW,Combination,Yes,38.6782,0.0705857,0,0,600,0,0,600,17,433.929,13.5332,3,86.6325,0
Trial    73,Arena 6,RW,Visual,Yes,44.0686,0.378925,0,0,600,0,0,600,32,47.6662,17.9998,14,42.9996,0
Trial    74,Arena 2,RW,Control,Yes,47.7715,0.219675,0,0,600,0,0,600,3,45.1662,0,36,183.298,4.43329
Trial    73,Arena 3,RW,Control,Yes,49.4663,0.113274,0,0,600,1,2.99997,0,23,122.265,13.8332,69,343.097,0
Trial    69,Arena 4,RW,Control,Yes,49.586,0.0841637,0,0,600,0,0,600,24,353.963,0,2,242.031,177.265
Trial    75,Arena 5,RW,Control,Yes,56.0882,0.0941718,0,0,600,0,0,600,7,120.999,0,7,476.729,11.1999
Trial    69,Arena 5,RW,Visual,Yes,56.8581,0.0951982,0,0,600,0,0,600,6,220.964,6.3666,5,378.73,0
Trial    67,Arena 2,RW,Control,Yes,69.211,0.115488,0,0,600,0,0,600,3,356.23,14.5999,4,243.831,0
Trial    75,Arena 2,RW,Visual,Yes,71.2891,0.12007,0,0,600,1,2.09998,286.797,3,171.365,99.099,10,427.996,0
Trial    75,Arena 4,RW,Combination,Yes,76.3751,0.129239,0,0,600,0,0,600,11,66.066,0,10,528.028,17.4332
Trial    67,Arena 6,RW,Control,Yes,77.3031,0.129263,0,0,600,0,0,600,6,265.031,15.1332,7,334.563,0
Trial    73,Arena 1,RW,Visual,Yes,78.9056,0.139181,0,0,600,0,0,600,20,176.832,9.03324,46,394.496,0
Trial    75,Arena 1,RW,Control,Yes,90.0497,0.152637,0,0,600,1,3.83329,178.365,3,94.2657,398.696,11,505.228,0
Trial    71,Arena 2,RW,Control,Yes,119.022,0.19967,0,0,600,0,0,600,10,400.863,0,5,197.631,26.1331
Trial    69,Arena 2,RW,Combination,Yes,120.14,0.202599,0,0,600,0,0,600,27,346.83,9.06658,5,232.098,0
Trial    71,Arena 1,RW,Combination,Yes,123.038,0.212785,0,0,600,0,0,600,26,300.897,0,7,278.831,92.2991
Trial    71,Arena 6,RW,Control,Yes,124.233,0.208891,0,0,600,0,0,600,13,237.598,74.1993,7,361.896,0
Trial    71,Arena 4,RW,Combination,Yes,129.553,0.227567,0,0,600,0,0,600,62,210.931,0,1,244.698,326.063
Trial    75,Arena 3,RW,Visual,Yes,20.715,0.353784,0,0,600,0,0,600,73,231.031,209.165,3,284.497,0
Trial    74,Arena 1,RW,Combination,Yes,21.7395,0.458289,0,0,600,0,0,600,65,329.097,0.533328,5,143.199,0
Trial    67,Arena 5,RW,Combination,Yes,227.723,0.413295,0,0,600,0,0,600,65,294.43,0,5,205.231,149.199
Trial    71,Arena 5,RW,Visual,Yes,24.7515,0.426901,0,0,600,0,0,600,67,382.163,7.0666,3,115.299,0
Trial    74,Arena 5,RW,Combination,Yes,30.4605,0.881814,0,0,600,1,2.89997,19.7331,77,76.9326,0,22,226.598,0.233331
Trial    74,Arena 4,RW,Visual,Yes,31.587,0.598055,0,0,600,0,0,600,158,399.496,2.66664,9,34.1663,0
Trial    75,Arena 6,RW,Combination,Yes,54.6301,0.919192,0,0,600,0,0,600,100,39.7996,35.433,83,528.761,0
Trial    73,Arena 4,RW,Combination,Yes,89.9344,0.158105,0,0,600,0,0,600,58,171.932,31.2997,58,237.498,31.5664
Trial    73,Arena 2,RW,Combination,Yes,120.032,0.200334,0,0,600,0,0,600,124,6.09994,99.8657,125,593.961,0
Trial    67,Arena 1,RW,Visual,Yes,14.4543,0.242375,0,0,600,0,0,600,353,276.231,0.833325,29,290.997,0
Trial    67,Arena 4,RW,Visual,Yes,166.205,0.289458,0,0,600,0,0,600,103,344.03,17.9998,76,181.832,0.033333
Trial    69,Arena 3,RW,Combination,Yes,61.7114,0.130039,0,0,600,0,0,600,371,407.563,0,181,142.765,55.3661
